iter	RMSE
1347	14379282.83
1348	14374140.25
1349	14369277.9
1350	14367143.83
1351	14361352.66
1352	14355368.83
1353	14352157.44
1354	14347678.34
1355	14336329.45
1356	14333906.3
1357	14329803.01
1358	14326037
1359	14319091.68
1360	14315852.82
1361	14312835.76
1362	14309650.91
1363	14302100
1364	14291697.25
1365	14286038.54
1366	14281722.58
1367	14277227.56
1368	14274195.18
1369	14266601.03
1370	14264719.41
1371	14262696
1372	14259750.56
1373	14254374.76
1374	14246288.88
1375	14238937.7
1376	14235126.61
1377	14227517.07
1378	14223498.12
1379	14220991.76
1380	14217253.26
1381	14216002.31
1382	14212806.78
1383	14205263.49
1384	14199609.34
1385	14193561.97
1386	14189530.49
1387	14186375.02
1388	14178635.89
1389	14173974.17
1390	14169354.78
1391	14163406.93
1392	14160980.41
1393	14153366.2
1394	14147965.08
1395	14146765.47
1396	14141064.74
1397	14138570.61
1398	14134570.94
1399	14131306.24
1400	14126998.77
1401	14125272.09
1402	14117942.49
1403	14116240.22
1404	14110147.99
1405	14105721.25
1406	14098085.4
1407	14095496.1
1408	14093989.27
1409	14090381.37
1410	14087993.46
1411	14083309.66
1412	14076918.2
1413	14075736.39
1414	14072073.02
1415	14069681.93
1416	14060481.32
1417	14054825.3
1418	14051151.8
1419	14045446.35
1420	14043674.23
1421	14040388.8
1422	14032717.05
1423	14028138.22
1424	14024768.56
1425	14023870.09
1426	14021310.56
1427	14012149.99
1428	14003404.76
1429	14000584.12
1430	13993332.31
1431	13987570.74
1432	13983783.73
1433	13980108.72
1434	13978727.24
1435	13976247.72
1436	13970412.22
1437	13963722.03
1438	13961275.36
1439	13956750.22
1440	13952718.75
1441	13949670.29
1442	13943802.97
1443	13937452.34
1444	13934324.18
1445	13931286.53
1446	13929521.74
1447	13926157.41
1448	13922142.72
1449	13919328.58
1450	13918238.56
1451	13914780.41
1452	13908061.74
1453	13906153.25
1454	13902572.4
1455	13898979.17
1456	13896032.71
1457	13886898
1458	13886176.74
1459	13885308.81
1460	13880547.2
1461	13877742.62
1462	13875718.44
1463	13872479.99
1464	13871044.54
1465	13868897.21
1466	13864743.19
1467	13847649.74
1468	13846167.76
1469	13840360.15
1470	13838231.14
1471	13836460.77
1472	13832931.66
1473	13830584.78
1474	13824423.28
1475	13823833.37
1476	13815782.5
1477	13810574.36
1478	13805259.78
1479	13802750.41
1480	13799017.63
1481	13790654.26
1482	13787072.8
1483	13785590.98
1484	13779266.66
1485	13774113.28
1486	13772613.46
1487	13767819.76
1488	13762501.37
1489	13759403.13
1490	13757498.33
1491	13754904.03
1492	13752757.89
1493	13747828.1
1494	13744032.43
1495	13741639.77
1496	13736319.65
1497	13733300.22
1498	13730404.83
1499	13727409.79
1500	13725688.81
1501	13719546.28
1502	13718200.04
1503	13715183.84
1504	13711957.25
1505	13708158.56
1506	13703737.29
1507	13701592.58
1508	13697056.49
1509	13694311.43
1510	13692088.25
1511	13684792.27
1512	13680966.68
1513	13679605.55
1514	13678875.39
1515	13677310.12
1516	13659980.16
1517	13656276.52
1518	13650728.73
1519	13649518.07
1520	13646091.55
1521	13643020.28
1522	13637763.21
1523	13636520.82
1524	13632996.88
1525	13631600.49
1526	13627576.9
1527	13620573.65
1528	13615935.27
1529	13611623.5
1530	13610414.51
1531	13604600.21
1532	13602006.56
1533	13596230.76
1534	13591885.03
1535	13589162.5
1536	13579314.68
1537	13576752.5
1538	13575090.18
1539	13570306.8
1540	13562717.66
1541	13557434.12
1542	13555246.96
1543	13545650.34
1544	13544484.37
1545	13542500.61
1546	13539654.49
1547	13536686.22
1548	13531372.89
1549	13529505.73
1550	13526057.78
1551	13524048.03
1552	13518522.98
1553	13512576.71
1554	13508615.4
1555	13505559.69
1556	13501572.88
1557	13495669.65
1558	13494648.8
1559	13487204.26
1560	13485269.96
1561	13481655.24
1562	13479697.1
1563	13475924.72
1564	13474757.7
1565	13470540.33
1566	13469705.62
1567	13461759.22
1568	13455273.27
1569	13452159.07
1570	13448336.77
1571	13445475.33
1572	13441494.78
1573	13440847.18
1574	13437062.34
1575	13434552.14
1576	13429425.41
1577	13424867.69
1578	13420743.1
1579	13417671.93
1580	13415234.78
1581	13413016.82
1582	13410596.35
1583	13407888.59
1584	13402988.44
1585	13396334.33
1586	13392312.94
1587	13388354.45
1588	13386690.59
1589	13383243.44
1590	13381248.33
1591	13378849.51
1592	13374060.18
1593	13371031.61
1594	13369099.85
1595	13364136.57
1596	13361044.09
1597	13355925.12
1598	13350521.41
1599	13347891.87
1600	13341408.49
1601	13336650.52
1602	13332467.78
1603	13330346.49
1604	13328053.46
1605	13324561.83
1606	13318209.91
1607	13314006.75
1608	13312692.62
1609	13305500.86
1610	13301793.26
1611	13297287.67
1612	13294739.38
1613	13289573.13
1614	13286323.25
1615	13279445.82
1616	13277168.69
1617	13267922.33
1618	13262074.82
1619	13258571.48
1620	13256264.49
1621	13254013.31
1622	13246543.5
1623	13244601.27
1624	13237395.24
1625	13235591.07
1626	13233344.4
1627	13230603.53
1628	13223228.41
1629	13222162.75
1630	13217340.65
1631	13212028.75
1632	13211570.73
1633	13209552.92
1634	13205387.01
1635	13199731
1636	13196291.09
1637	13194180.8
1638	13192539.68
1639	13183432.27
1640	13181601.12
1641	13179150.75
1642	13172955.56
1643	13167233.29
1644	13163618.37
1645	13161973.54
1646	13159447.07
1647	13156421.55
1648	13152922.37
1649	13151738.65
1650	13146225.05
1651	13139151.93
1652	13136191.29
1653	13133691.73
1654	13129617.16
1655	13126838.85
1656	13125720.32
1657	13121742.97
1658	13117617.84
1659	13110634.6
1660	13107280.6
1661	13104213.01
1662	13100893.25
1663	13097304.02
1664	13092579.35
1665	13089686.95
