Síterep,Link,Régió,Parkoló,Hegytető,Sípályák hossza,Szintkülönbség,Liftek száma,Szezon eleje,Szezon vége,Távolság Budapesttől,Felnőtt napijegy ára,Húzólift,Kombilift,Kék,Piros,Fekete,Ülőlift,Nagykabinos lift,Kiskabinos lift,Vonat
Hochzillertal - Hochfügen,https://sielok.hu/siterep/hochzillertal/,Tirol,600,2378,85.6,1778,39,2022.12.03.,2023.04.16.,703.0,65.5,22,0,29.7,41.3,14.6,11,0,6,0
Hohentauern - Moscher,https://sielok.hu/siterep/hohentauern/,Stájerország,1230,1700,11.0,470,4,2022.12.17.,2023.03.19.,434.0,43.0,4,0,3.0,7.0,1.0,0,0,0,0
Holzgau - Gföllberglift,https://sielok.hu/siterep/holzgau-gfoellberglift/,Tirol,1108,1329,2.5,221,2,,,800.0,27.0,2,0,1.5,1.0,0.0,0,0,0,0
Holzmeisterlifte Sommeralm,https://sielok.hu/siterep/holzmeister/,Stájerország,1240,1400,3.0,160,2,,,329.0,23.5,2,0,2.0,1.0,0.0,0,0,0,0
Ifen,https://sielok.hu/siterep/ifen/,Vorarlberg,1270,2030,22.6,760,4,2022.12.10.,2023.04.16.,841.0,57.5,1,0,12.0,6.9,3.7,1,0,2,0
Imst / Hoch-Imst,https://sielok.hu/siterep/imster/,Tirol,1053,2026,10.3,973,4,2022.12.16.,2023.03.19.,785.0,39.1,2,0,2.6,5.8,1.9,0,0,2,0
Innerkrems,https://sielok.hu/siterep/innerkrems/,Karintia,1550,2200,36.0,650,9,,,513.0,44.0,7,0,7.0,27.0,2.0,2,0,0,0
Ischgl - Silvretta Arena,https://sielok.hu/siterep/ischgl/,Tirol,1360,2872,239.0,1512,41,2022.11.24.,2023.05.01.,826.0,67.0,9,0,47.0,143.0,49.0,25,3,4,0
Jauerling,https://sielok.hu/siterep/jauerling/,Alsó-Ausztria,825,959,0.5,134,1,,,352.0,,1,0,0.5,0.0,0.0,0,0,0,0
Jungholz,https://sielok.hu/siterep/jungholz/,Tirol,1058,1500,10.0,442,7,2022.12.17.,2023.04.02.,813.0,38.0,5,0,7.0,3.0,0.0,2,0,0,0
Jöchelspitze (Lechtal),https://sielok.hu/siterep/bach-joechelspitze/,Tirol,1200,1768,5.0,568,2,2022.12.23.,2023.03.19.,797.0,46.0,1,0,2.5,2.5,0.0,0,0,1,0
