host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,room_type,accommodates,bedrooms,beds,price,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_cleanliness,review_scores_location,review_scores_value,instant_bookable,description_host,description_neighbourhood,neighbourhood_cleansed_grouped,host_since_years,first_review_years,last_review_years,bathrooms_count,amenity_kitchen,amenity_hot_water,amenity_cooking_basics,amenity_long_term_stays_allowed,amenity_iron,amenity_workspace,amenity_bed_linens,amenity_hangers,amenity_refrigerator,amenity_air_conditioning,amenity_dishes_and_silverware,amenity_shampoo,amenity_tv,amenity_coffee_maker,amenity_washer,amenity_stove,name_cleaned_length,description_cleaned_length,name_touristy
within_hour,1.0,0.98,1,1,entire_place,2,1.0,1.0,55.0,5,292,251,11,1,4.92,4.84,4.84,1,0,1,Centro Storico,10.169863013698633,9.169863013698633,0.1808219178082191,1.0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,6,145,0
within_hour,1.0,0.98,1,1,entire_place,3,1.0,1.0,57.0,2,296,519,23,3,4.85,4.84,4.81,1,0,1,Centro Storico,10.169863013698633,9.312328767123288,1.5808219178082192,1.0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,5,148,0
within_hour,1.0,0.98,1,1,entire_place,3,1.0,2.0,57.0,2,308,367,21,5,4.9,4.98,4.84,1,0,1,Centro Storico,10.169863013698633,8.038356164383561,0.2684931506849315,1.0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,5,148,0
within_day,1.0,0.57,0,1,entire_place,4,2.0,3.0,41.0,12,296,96,0,0,4.87,4.78,4.57,0,0,1,Centro Storico,10.126027397260271,9.052054794520547,2.1671232876712327,1.5,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,4,149,0
few_days,0.33,0.0,0,0,entire_place,4,1.0,4.0,80.0,11,346,8,0,0,4.43,5.0,4.71,1,0,0,Centro Storico,10.101369863013698,7.326027397260274,1.4164383561643836,1.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,6,151,0
within_hour,1.0,1.0,0,1,entire_place,4,1.0,2.0,110.0,11,314,34,0,0,4.53,4.68,4.29,1,0,1,Campo di Marte,10.082191780821915,7.597260273972603,2.1671232876712327,1.0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,3,155,0
within_few_hours,1.0,,0,1,entire_place,4,2.0,4.0,110.0,30,365,70,0,0,4.85,4.97,4.84,0,0,1,Centro Storico,10.07945205479452,7.871232876712328,2.2273972602739724,1.0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,3,165,0
within_hour,1.0,1.0,0,1,entire_place,4,1.0,2.0,110.0,30,92,72,0,0,4.63,4.89,4.61,1,0,1,Centro Storico,10.082191780821915,8.33972602739726,2.16986301369863,1.0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,6,156,1
within_few_hours,1.0,0.96,1,0,entire_place,4,1.0,1.0,87.0,30,50,28,0,0,4.85,4.81,4.81,0,0,1,Centro Storico,10.926027397260274,8.038356164383561,3.906849315068493,2.0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,6,171,1
within_few_hours,1.0,0.94,0,1,entire_place,4,1.0,1.0,49.0,7,342,63,4,2,4.38,4.55,4.24,0,0,1,Centro Storico,10.068493150684931,9.665753424657536,1.2164383561643837,1.0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,5,82,0
