id,num_of_stops,total_distance,shortName,type,From,To
BKK_8902,1.0,6267.0,B,BUS,Deák Ferenc tér M,Expó tér
BKK_4741,8.0,3330.0,74A,TROLLEYBUS,Mexikói út M,Csáktornya park
BKK_8903,2.0,22843.0,C,BUS,Airport - Monor,"Budapest, Expó tér"
BKK_1190,10.0,3710.0,119,BUS,Zodony utca,Gubacsi út / Határ út
BKK_H9,12.0,10727.0,H9,SUBURBAN_RAILWAY,Csömör,Örs vezér tere
BKK_1850,14.0,5334.0,185,BUS,Újhegy,Kőbánya alsó vasútáll.
BKK_1170,11.0,5058.0,117,BUS,Mélytó utca,Kőbánya alsó vasútáll.
BKK_2660,20.0,8827.0,266,BUS,"Ganztelep, Mednyánszky u.",Pestszentimre vasútáll.
BKK_1940,18.0,8103.0,194,BUS,Gloriett lakótelep,Határ út M
BKK_1990,12.0,5317.0,199,BUS,Áchim András utca,Határ út M
BKK_1942,21.0,8082.0,194B,BUS,Gloriett lakótelep,Határ út M
BKK_1520,31.0,12927.0,152,BUS,Hollandi út,Szent Imre tér
BKK_3170,36.0,14801.0,17,TRAM,Savoya Park,Bécsi út / Vörösvári út
BKK_1790,22.0,10719.0,179,BUS,Közvágóhíd H,"Csepel, Szent Imre tér"
BKK_1961,15.0,7288.0,196A,BUS,"Újpalota, Szentmihályi út",Újpest-városkapu M
BKK_1960,21.0,10346.0,196,BUS,"Újpalota, Szentmihályi út","Újpest, Fóti út"
BKK_1060,15.0,7448.0,106,BUS,Római úti lakótelep,Göncz Árpád városkp. M
BKK_4734,13.0,5253.0,73M,TROLLEYBUS,Deák Ferenc tér M,Keleti pályaudvar M
BKK_3520,16.0,6977.0,52,TRAM,"P.erzsébet, Pacsirtatelep",Határ út M
BKK_2690,8.0,2732.0,269,BUS,Színes utca,Rákoscsaba vasútállomás
BKK_3510,20.0,8093.0,51,TRAM,Nagysándor József utca,Mester utca/Ferenc körút
BKK_1230,23.0,14191.0,123,BUS,"Soroksár, IKEA áruház",Határ út M
BKK_3370,24.0,11045.0,37,TRAM,Új köztemető (Kozma u.),Blaha Lujza tér M
BKK_8904,5.0,9271.0,D,BUS,Vigadó tér,Expó tér
BKK_1020,12.0,4418.0,102,BUS,Szendrő utca,Széll Kálmán tér M
BKK_1830,13.0,5759.0,183,BUS,Szemeretelep vasútállomás,Szarvas csárda tér
BKK_1030,5.0,2289.0,103,BUS,Hengermalom út,Kelenföld vasútállomás M
BKK_2300,32.0,15778.0,230,BUS,Keleti pályaudvar M,"Káp.megyer, Aquaworld"
BKK_0580,34.0,13960.0,58,BUS,Móricz Zs. körtér M,Jégmadár utca
BKK_1110,32.0,11078.0,111,BUS,"Óbuda, Bogdáni út",Batthyány tér M H
BKK_2430,14.0,5857.0,243,BUS,Békásmegyer H,Pince köz
BKK_3060,18.0,8385.0,6,TRAM,Móricz Zs. körtér M,Széll Kálmán tér M
BKK_3040,18.0,8515.0,4,TRAM,Újbuda-központ M,Széll Kálmán tér M
BKK_0110,16.0,5923.0,11,BUS,Nagybányai út,Batthyány tér M H
BKK_1015,13.0,10618.0,101E,BUS,Budatétény vá. (Campona),Kelenföld vasútállomás M
BKK_2510,22.0,10390.0,251,BUS,Savoya Park,Kelenföld vasútállomás M
BKK_2511,19.0,8544.0,251A,BUS,Városház tér,Kelenföld vasútállomás M
BKK_0260,13.0,6825.0,26,BUS,Göncz Árpád városkp. M,Nyugati pályaudvar M
BKK_0910,20.0,8176.0,91,BUS,Széll Kálmán tér M,Nyugati pályaudvar M
BKK_0460,51.0,23723.0,46,BUS,Helikopter lakópark,"Újpalota, Nyírpalota út"
BKK_3240,12.0,5624.0,24,TRAM,Keleti pályaudvar M,Közvágóhíd H
BKK_3280,24.0,10157.0,28,TRAM,Izraelita temető,Blaha Lujza tér M
BKK_3690,14.0,6558.0,69,TRAM,"Újpalota, Erdőkerülő utca",Mexikói út M
BKK_3620,33.0,13800.0,62,TRAM,"Rákospalota, MÁV-telep",Blaha Lujza tér M
BKK_3511,7.0,2253.0,51A,TRAM,Ferencváros vasútállomás,Mester utca/Ferenc körút
