licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
V2009,Siemens Combino,TRAM,47.47591,19.053646,6,Móricz Zs. körtér M,Széll Kálmán tér M
NAY307,MAN Lions City A21 (ArrivaBus),BUS,47.462776,19.149553,182,Alacskai úti lakótelep,Kőbánya-Kispest M
V2005,Siemens Combino,TRAM,47.492165,19.104519,,,
V2007,Siemens Combino,TRAM,47.482468,19.068834,4,Újbuda-központ M,Széll Kálmán tér M
V2008,Siemens Combino,TRAM,47.491985,19.103249,,,
BPI156,Ikarus 435-ös típusú autóbusz,BUS,47.50072,19.23664,,,
V1581,TW 6000,TRAM,47.475872,19.178118,28A,Új köztemető (Kozma u.),Blaha Lujza tér M
MOS269,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.386055,19.021593,38,Szigetszentmiklós,"Csepel, Szent Imre tér"
V1580,TW 6000,TRAM,47.475025,19.070364,24,Keleti pályaudvar M,Közvágóhíd H
V4211,Tátra T5C5K,TRAM,47.490467,19.088455,,,
V4210,Tátra T5C5K,TRAM,47.490356,19.088997,,,
MOS275,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.464684,19.12708,89E,"Gyál, Bem József utca",Határ út M
V1583,TW 6000,TRAM,47.488194,19.092588,24,Keleti pályaudvar M,Közvágóhíd H
MOS271,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.589478,19.149431,,,
V1584,TW 6000,TRAM,47.492165,19.14117,28A,Új köztemető (Kozma u.),Blaha Lujza tér M
935,MXA,SUBURBAN_RAILWAY,47.59786,19.287516,H8,Gödöllő,Örs vezér tere
NBW003,MERCEDES Conecto szóló (BKV),BUS,47.498707,19.236475,,,
V1590,TW 6000,TRAM,47.46532,19.123466,,,
V1589,TW 6000,TRAM,47.495087,19.076212,28A,Új köztemető (Kozma u.),Blaha Lujza tér M
NBW005,MERCEDES Conecto szóló (BKV),BUS,47.49881,19.237001,,,
NBW001,MERCEDES Conecto szóló (BKV),BUS,47.496296,19.157848,67,"Rákoskeresztúr, Aranylúd u.",Örs vezér tere M H
BPO423,Ikarus 280-as típusú autóbusz,BUS,47.42741,19.158335,,,
NBW007,MERCEDES Conecto szóló (BKV),BUS,47.51665,19.1421,231,"R.palota, Széchenyi tér",Örs vezér tere M H
V4228,Tátra T5C5K,TRAM,47.470234,19.051235,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
NBW009,MERCEDES Conecto szóló (BKV),BUS,47.458614,19.234797,98,Rákoscsaba vasútállomás,Kőbánya-Kispest M
825,MIXA,SUBURBAN_RAILWAY,47.42175,19.066324,H7,Csepel,Boráros tér
MUT887,VanHool  NewAG300 csuklós autóbusz,BUS,47.427666,19.159798,,,
MUT889,VanHool  NewAG300 csuklós autóbusz,BUS,47.42677,19.159298,,,
MUT895,VanHool  NewAG300 csuklós autóbusz,BUS,47.426712,19.157719,,,
V1564,TW 6000,TRAM,47.490055,19.089874,,,
MUT894,VanHool  NewAG300 csuklós autóbusz,BUS,47.46326,19.106934,,,
MUT891,VanHool  NewAG300 csuklós autóbusz,BUS,47.43392,19.147943,54,"Péterimajor, Víztorony tér",Boráros tér H
V1560,TW 6000,TRAM,47.49903,19.082478,24,Keleti pályaudvar M,Közvágóhíd H
V1563,TW 6000,TRAM,47.465054,19.126245,52,"P.erzsébet, Pacsirtatelep",Határ út M
V1568,TW 6000,TRAM,47.486717,19.107595,28A,Új köztemető (Kozma u.),Blaha Lujza tér M
BPI145,Ikarus 435-ös típusú autóbusz,BUS,47.499664,19.236427,,,
MUT900,VanHool  NewAG300 csuklós autóbusz,BUS,47.47994,19.067986,23,Boráros tér H,"P.erzsébet, Ady Endre tér"
BPI147,Ikarus 435-ös típusú autóbusz,BUS,47.501266,19.236713,,,
MUT899,VanHool  NewAG300 csuklós autóbusz,BUS,47.428497,19.158356,,,
V1569,TW 6000,TRAM,47.451397,19.159428,50,"Pestszentlőrinc, Béke tér",Villanytelep
MOS264,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.479794,19.255417,169E,"Pécel, Kun József utca",Örs vezér tere M H
MUU906,VanHool  NewAG300 csuklós autóbusz,BUS,47.426582,19.158257,,,
MOS263,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.431026,19.07108,38,Szigetszentmiklós,"Csepel, Szent Imre tér"
V1577,TW 6000,TRAM,47.469707,19.084084,51A,Ferencváros vasútállomás,Mester utca/Ferenc körút
MOS260,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.43857,19.139105,55,"Gyál, Vecsési út",Boráros tér H
MUU902,VanHool  NewAG300 csuklós autóbusz,BUS,47.428196,19.159164,,,
MOS262,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.43865,19.138935,89E,"Gyál, Bem József utca",Határ út M
